Region,Latitude,Longitude
NB,46.2313,-64.2615
NB,46.2165,-64.5128
NB,46.2324,-64.785
NB,46.4171,-64.9241
NB,46.3026,-64.9648
NB,46.3131,-64.5853
NB,46.6493,-64.8842
NB,46.735,-64.9744
NB,46.7333,-65.4489
NB,45.751,-65.048
NB,45.2441,-66.9929
NB,45.0732,-67.0428
NB,45.2441,-66.9929
NB,44.887,-66.95
NB,44.6586,-66.8625
NB,45.0766,-66.77
NB,45.2116,-66.3491
NB,45.331,-66.2095
NB,45.5281,-66.511
NB,45.6287,-66.1751
NB,45.5263,-65.8155
NB,45.8489,-65.788
NB,45.3849,-65.6331
NB,45.3571,-66.0858
NB,45.6769,-65.884
NB,45.0481,-66.9556
NB,46.2767,-66.7384
NB,46.2324,-66.6683
NB,45.9523,-66.6717
NB,46.1296,-67.1953
NB,45.9942,-67.2397
NB,45.7207,-67.6516
NB,45.5927,-67.2973
NB,45.6975,-66.9557
NB,46.12,-66.9477
NB,47.2542,-68.7211
NB,47.4785,-68.415
NB,47.3516,-68.2208
NB,47.1717,-67.925
NB,46.9097,-67.3971
NB,46.7284,-67.7057
NB,46.5082,-67.5871
NB,46.4328,-67.7105
NB,46.4418,-67.63
NB,46.1368,-67.5817
NB,46.0089,-67.7236
NB,46.3709,-67.445
NB,47.5021,-67.3897
NB,47.6454,-67.3437
NB,48.0477,-66.4004
NB,47.9879,-66.5145
NB,47.8741,-65.9102
NB,47.7634,-65.8276
NB,47.6736,-65.6795
NB,47.5887,-65.0979
NB,47.8022,-65.1862
NB,47.8219,-65.0917
NB,47.6656,-64.9543
NB,47.7443,-64.7222
NB,47.7456,-64.7143
NB,47.792,-64.652
NB,46.7385,-65.8528
NB,46.7772,-65.8638
NB,46.4477,-66.2584
NB,46.9795,-65.6715
NB,47.2316,-65.1378
NB,47.3272,-65.011
NL,47.0073,-52.9589
NL,47.7609,-53.9834
NL,48.3464,-53.9646
NL,47.3597,-54.8984
NL,49.4536,-54.1045
NL,49.1301,-56.0845
NL,49.5959,-55.6739
NL,51.2327,-56.7969
NL,48.9934,-58.1009
NL,48.1816,-58.858
NL,48.6113,-58.8736
NL,55.8889,-60.8805
NL,53.5329,-64.0145
NL,47.571,-52.6961
NL,47.5736,-52.7083
NL,47.5677,-52.7031
NL,47.5507,-52.7147
NL,47.5295,-52.7417
NL,47.4926,-52.8123
NL,47.6542,-52.7367
NL,47.5363,-52.8389
NL,47.5982,-52.8384
NL,47.5203,-52.7789
NL,47.462,-52.7895
NL,48.9632,-54.6169
NL,47.5329,-52.9132
NL,47.5238,-52.9595
NL,48.9268,-55.6613
NL,48.9249,-55.6493
NL,48.949,-55.6725
NL,48.9654,-57.9225
NL,48.5656,-58.6
NL,52.9348,-66.9145
NL,48.1666,-53.9628
NL,49.1778,-57.413
NS,46.2811,-60.2825
NS,45.5148,-60.966
NS,45.6051,-61.6975
NS,45.1458,-61.8108
NS,45.5808,-62.1969
NS,45.5802,-64.6646
NS,45.3317,-64.7596
NS,44.8794,-63.7254
NS,45.0191,-64.8882
NS,44.7424,-65.5111
NS,44.6491,-65.5472
NS,43.7029,-65.1119
NS,44.03,-65.9445
NS,43.8187,-65.9517
NS,46.1794,-59.9477
NS,46.1365,-59.8717
NS,46.2152,-60.2452
NS,46.2003,-60.0215
NS,46.2063,-60.0255
NS,46.2295,-60.0941
NS,45.8365,-60.4435
NS,46.1309,-60.1864
NS,46.0911,-60.2462
NS,46.169,-60.1013
NS,46.167,-60.1943
NS,46.1337,-60.1939
NS,46.1224,-60.2236
NS,46.1334,-60.1947
NS,46.1122,-60.2372
NS,46.2383,-60.2165
