Region,Source,Year,Data,Unit
QC,Solar,2009,0,GWh
QC,Solar,2010,0,GWh
QC,Solar,2011,0,GWh
QC,Solar,2012,0,GWh
QC,Solar,2013,0,GWh
QC,Solar,2014,0,GWh
QC,Solar,2015,0,GWh
NB,Solar,2005,0,GWh
NB,Solar,2006,0,GWh
NB,Solar,2007,0,GWh
NB,Solar,2008,0,GWh
NB,Solar,2009,0,GWh
NB,Solar,2010,0,GWh
NB,Solar,2011,0,GWh
NB,Solar,2012,0,GWh
NB,Solar,2013,0,GWh
NB,Solar,2014,0,GWh
NB,Solar,2015,0,GWh
NS,Solar,2005,0,GWh
NS,Solar,2006,0,GWh
NS,Solar,2007,0,GWh
NS,Solar,2008,0,GWh
NS,Solar,2009,0,GWh
NS,Solar,2010,0,GWh
NS,Solar,2011,0,GWh
NS,Solar,2012,0,GWh
NS,Solar,2013,0,GWh
NS,Solar,2014,0,GWh
NS,Solar,2015,0,GWh
PE,Solar,2005,0,GWh
PE,Solar,2006,0,GWh
PE,Solar,2007,0,GWh
PE,Solar,2008,0,GWh
PE,Solar,2009,0,GWh
PE,Solar,2010,0,GWh
PE,Solar,2011,0,GWh
PE,Solar,2012,0,GWh
PE,Solar,2013,0,GWh
PE,Solar,2014,0,GWh
PE,Solar,2015,0,GWh
NF,Solar,2005,0,GWh
NF,Solar,2006,0,GWh
NF,Solar,2007,0,GWh
NF,Solar,2008,0,GWh
NF,Solar,2009,0,GWh
NF,Solar,2010,0,GWh
NF,Solar,2011,0,GWh
NF,Solar,2012,0,GWh
NF,Solar,2013,0,GWh
NF,Solar,2014,0,GWh
NF,Solar,2015,0,GWh
NWT,Solar,2005,0,GWh
NWT,Solar,2006,0,GWh
NWT,Solar,2007,0,GWh
NWT,Solar,2008,0,GWh
NWT,Solar,2009,0,GWh
NWT,Solar,2010,0,GWh
NWT,Solar,2011,0,GWh
NWT,Solar,2012,0,GWh
NWT,Solar,2013,0,GWh
NWT,Solar,2014,0,GWh
NWT,Solar,2015,0,GWh
YT,Solar,2005,0,GWh
YT,Solar,2006,0,GWh
YT,Solar,2007,0,GWh
YT,Solar,2008,0,GWh
YT,Solar,2009,0,GWh
YT,Solar,2010,0,GWh
YT,Solar,2011,0,GWh
YT,Solar,2012,0,GWh
YT,Solar,2013,0,GWh
YT,Solar,2014,0,GWh
YT,Solar,2015,0,GWh
NU,Solar,2005,0,GWh
NU,Solar,2006,0,GWh
NU,Solar,2007,0,GWh
NU,Solar,2008,0,GWh
NU,Solar,2009,0,GWh
NU,Solar,2010,0,GWh
NU,Solar,2011,0,GWh
NU,Solar,2012,0,GWh
NU,Solar,2013,0,GWh
NU,Solar,2014,0,GWh
NU,Solar,2015,0,GWh
Canada,Solar,2005,0,GWh
Canada,Solar,2006,0,GWh
Canada,Solar,2007,0,GWh
Canada,Solar,2008,0,GWh
Canada,Solar,2009,5,GWh
Canada,Solar,2010,123,GWh
Canada,Solar,2011,398,GWh
Canada,Solar,2012,842,GWh
Canada,Solar,2013,1173,GWh
Canada,Solar,2014,1816,GWh
Canada,Solar,2015,3001,GWh
BC,All sources,2005,67773.67,GWh
BC,All sources,2006,61597.581,GWh
BC,All sources,2007,71829.977,GWh
BC,All sources,2008,66072.066,GWh
BC,All sources,2009,65056.651,GWh
BC,All sources,2010,64223.737,GWh
BC,All sources,2011,69257.261,GWh
BC,All sources,2012,73584.442,GWh
BC,All sources,2013,67851.1,GWh
BC,All sources,2014,67007.862,GWh
BC,All sources,2015,66564.661,GWh
AB,All sources,2005,68435.2974,GWh
AB,All sources,2006,71777.67115,GWh
AB,All sources,2007,72535.659,GWh
AB,All sources,2008,71649.51,GWh
AB,All sources,2009,72171.1,GWh
AB,All sources,2010,73568.50206,GWh
AB,All sources,2011,73053.83951,GWh
AB,All sources,2012,75076.50595,GWh
AB,All sources,2013,78052.8,GWh
AB,All sources,2014,82822.7,GWh
AB,All sources,2015,81540,GWh
SK,All sources,2005,19910.156,GWh
SK,All sources,2006,19655.928,GWh
SK,All sources,2007,20614.961,GWh
SK,All sources,2008,21766.546,GWh
SK,All sources,2009,20768.422,GWh
SK,All sources,2010,20408.414,GWh
SK,All sources,2011,21195.358,GWh
SK,All sources,2012,21251.778,GWh
SK,All sources,2013,23181.938,GWh
SK,All sources,2014,22204.138,GWh
SK,All sources,2015,23598.612,GWh
MB,All sources,2005,37076.8422,GWh
MB,All sources,2006,34511.5375,GWh
MB,All sources,2007,34429.3736,GWh
MB,All sources,2008,35561.7506,GWh
MB,All sources,2009,34185.326,GWh
MB,All sources,2010,33786.564,GWh
MB,All sources,2011,35140.028,GWh
MB,All sources,2012,33242.2619,GWh
MB,All sources,2013,36388.5605,GWh
MB,All sources,2014,35564.4275,GWh
MB,All sources,2015,35757.47086,GWh
ON,All sources,2005,159335.365,GWh
ON,All sources,2006,158623.926,GWh
ON,All sources,2007,158892.952,GWh
ON,All sources,2008,166197.664,GWh
ON,All sources,2009,148045.9898,GWh
ON,All sources,2010,151115.382,GWh
