pr,	Year, Month, Country, ISO3, ISO2
49.9258,1936,10,USA,,
33.3191,1936,11,USA,,
59.922,1936,12,USA,,
65.9095,1937,1,USA,,
44.2413,1937,2,USA,,
41.5092,1937,3,USA,,
53.7246,1937,4,USA,,
47.9431,1937,5,USA,,
67.5109,1937,6,USA,,
62.6874,1937,7,USA,,
64.317,1937,8,USA,,
48.3435,1937,9,USA,,
55.5839,1937,10,USA,,
44.3541,1937,11,USA,,
47.9342,1937,12,USA,,
44.2578,1938,1,USA,,
48.7716,1938,2,USA,,
63.773,1938,3,USA,,
52.9581,1938,4,USA,,
66.524,1938,5,USA,,
68.0149,1938,6,USA,,
75.2207,1938,7,USA,,
56.7188,1938,8,USA,,
61.0994,1938,9,USA,,
31.8106,1938,10,USA,,
45.4738,1938,11,USA,,
38.5731,1938,12,USA,,
50.1618,1939,1,USA,,
57.7277,1939,2,USA,,
42.2625,1939,3,USA,,
44.3306,1939,4,USA,,
45.192,1939,5,USA,,
72.0365,1939,6,USA,,
57.976,1939,7,USA,,
68.2536,1939,8,USA,,
43.1879,1939,9,USA,,
39.8453,1939,10,USA,,
23.713,1939,11,USA,,
39.3418,1939,12,USA,,
40.5922,1940,1,USA,,
53.4826,1940,2,USA,,
45.4063,1940,3,USA,,
58.905,1940,4,USA,,
48.1473,1940,5,USA,,
64.4203,1940,6,USA,,
58.0073,1940,7,USA,,
69.8063,1940,8,USA,,
51.916,1940,9,USA,,
42.1117,1940,10,USA,,
58.3208,1940,11,USA,,
58.3833,1940,12,USA,,
41.5786,1941,1,USA,,
36.7371,1941,2,USA,,
42.8082,1941,3,USA,,
58.9447,1941,4,USA,,
55.1211,1941,5,USA,,
78.9585,1941,6,USA,,
73.1939,1941,7,USA,,
63.0589,1941,8,USA,,
69.9299,1941,9,USA,,
77.3615,1941,10,USA,,
38.7102,1941,11,USA,,
55.2682,1941,12,USA,,
32.9173,1942,1,USA,,
41.0003,1942,2,USA,,
50.0876,1942,3,USA,,
53.6561,1942,4,USA,,
64.9384,1942,5,USA,,
76.3222,1942,6,USA,,
61.0347,1942,7,USA,,
76.9559,1942,8,USA,,
67.6754,1942,9,USA,,
49.2121,1942,10,USA,,
46.261,1942,11,USA,,
56.7803,1942,12,USA,,
43.4704,1943,1,USA,,
30.771,1943,2,USA,,
58.0892,1943,3,USA,,
41.2337,1943,4,USA,,
68.243,1943,5,USA,,
71.2066,1943,6,USA,,
61.6651,1943,7,USA,,
59.2848,1943,8,USA,,
46.4658,1943,9,USA,,
43.2545,1943,10,USA,,
34.097,1943,11,USA,,
40.7875,1943,12,USA,,
38.1463,1944,1,USA,,
52.898,1944,2,USA,,
63.0922,1944,3,USA,,
60.8307,1944,4,USA,,
63.2975,1944,5,USA,,
66.8236,1944,6,USA,,
57.2266,1944,7,USA,,
73.6452,1944,8,USA,,
56.2911,1944,9,USA,,
34.3121,1944,10,USA,,
53.2289,1944,11,USA,,
43.9056,1944,12,USA,,
36.5904,1945,1,USA,,
56.1344,1945,2,USA,,
62.2417,1945,3,USA,,
58.4838,1945,4,USA,,
58.823,1945,5,USA,,
74.9851,1945,6,USA,,
70.2881,1945,7,USA,,
69.7415,1945,8,USA,,
78.6086,1945,9,USA,,
48.9092,1945,10,USA,,
46.9938,1945,11,USA,,
51.3231,1945,12,USA,,
49.9083,1946,1,USA,,
41.0468,1946,2,USA,,
54.167,1946,3,USA,,
33.4958,1946,4,USA,,
74.4306,1946,5,USA,,
63.1701,1946,6,USA,,
58.343,1946,7,USA,,
67.199,1946,8,USA,,
60.5042,1946,9,USA,,
61.4866,1946,10,USA,,
60.0974,1946,11,USA,,
42.2624,1946,12,USA,,
50.7867,1947,1,USA,,
23.0554,1947,2,USA,,
45.9938,1947,3,USA,,
59.0896,1947,4,USA,,
64.4968,1947,5,USA,,
82.1321,1947,6,USA,,
51.3813,1947,7,USA,,
57.3802,1947,8,USA,,
54.3394,1947,9,USA,,
46.121,1947,10,USA,,
58.1048,1947,11,USA,,
42.7744,1947,12,USA,,
42.1519,1948,1,USA,,
48.4505,1948,2,USA,,
61.4904,1948,3,USA,,
48.6585,1948,4,USA,,
53.9158,1948,5,USA,,
68.3425,1948,6,USA,,
73.5422,1948,7,USA,,
56.905,1948,8,USA,,
46.858,1948,9,USA,,
37.5501,1948,10,USA,,
66.8612,1948,11,USA,,
52.1372,1948,12,USA,,
64.0861,1949,1,USA,,
46.0267,1949,2,USA,,
50.356,1949,3,USA,,
39.8937,1949,4,USA,,
59.9111,1949,5,USA,,
72.441,1949,6,USA,,
69.8944,1949,7,USA,,
61.8231,1949,8,USA,,
52.0037,1949,9,USA,,
59.5207,1949,10,USA,,
29.3089,1949,11,USA,,
46.1504,1949,12,USA,,
61.6089,1950,1,USA,,
42.4049,1950,2,USA,,
47.108,1950,3,USA,,
42.7805,1950,4,USA,,
58.4526,1950,5,USA,,
64.3419,1950,6,USA,,
83.9905,1950,7,USA,,
59.9036,1950,8,USA,,
61.5376,1950,9,USA,,
38.8346,1950,10,USA,,
42.9924,1950,11,USA,,
39.9757,1950,12,USA,,
46.045,1951,1,USA,,
45.7631,1951,2,USA,,
50.5443,1951,3,USA,,
47.9806,1951,4,USA,,
48.7286,1951,5,USA,,
76.1404,1951,6,USA,,
65.0801,1951,7,USA,,
70.4595,1951,8,USA,,
61.1982,1951,9,USA,,
49.0189,1951,10,USA,,
50.9209,1951,11,USA,,
62.6326,1951,12,USA,,
51.1981,1952,1,USA,,
38.968,1952,2,USA,,
58.7084,1952,3,USA,,
47.5844,1952,4,USA,,
55.1084,1952,5,USA,,
52.1662,1952,6,USA,,
63.7754,1952,7,USA,,
66.0508,1952,8,USA,,
38.4107,1952,9,USA,,
20.5921,1952,10,USA,,
47.174,1952,11,USA,,
48.0227,1952,12,USA,,
48.5756,1953,1,USA,,
43.5696,1953,2,USA,,
50.5392,1953,3,USA,,
56.562,1953,4,USA,,
65.3056,1953,5,USA,,
60.9806,1953,6,USA,,
58.4569,1953,7,USA,,
63.0206,1953,8,USA,,
39.101,1953,9,USA,,
33.6015,1953,10,USA,,
36.3265,1953,11,USA,,
50.3908,1953,12,USA,,
49.0717,1954,1,USA,,
32.1994,1954,2,USA,,
46.7292,1954,3,USA,,
46.2975,1954,4,USA,,
53.191,1954,5,USA,,
56.7715,1954,6,USA,,
54.6523,1954,7,USA,,
64.5077,1954,8,USA,,
53.3834,1954,9,USA,,
50.1944,1954,10,USA,,
34.8996,1954,11,USA,,
43.6782,1954,12,USA,,
37.3614,1955,1,USA,,
47.1329,1955,2,USA,,
43.7388,1955,3,USA,,
48.6465,1955,4,USA,,
59.8985,1955,5,USA,,
60.1101,1955,6,USA,,
67.8513,1955,7,USA,,
69.7541,1955,8,USA,,
51.2655,1955,9,USA,,
44.8725,1955,10,USA,,
38.2137,1955,11,USA,,
43.438,1955,12,USA,,
43.9448,1956,1,USA,,
53.125,1956,2,USA,,
38.6798,1956,3,USA,,
42.0905,1956,4,USA,,
54.2007,1956,5,USA,,
50.3018,1956,6,USA,,
66.3747,1956,7,USA,,
61.0702,1956,8,USA,,
39.8382,1956,9,USA,,
43.3605,1956,10,USA,,
33.535,1956,11,USA,,
39.6222,1956,12,USA,,
45.1029,1957,1,USA,,
42.1865,1957,2,USA,,
47.7477,1957,3,USA,,
66.5728,1957,4,USA,,
80.6678,1957,5,USA,,
73.4567,1957,6,USA,,
52.3521,1957,7,USA,,
54.4412,1957,8,USA,,
64.817,1957,9,USA,,
57.8729,1957,10,USA,,
64.2212,1957,11,USA,,
48.6574,1957,12,USA,,
45.1686,1958,1,USA,,
44.5936,1958,2,USA,,
51.0488,1958,3,USA,,
57.7939,1958,4,USA,,
51.2221,1958,5,USA,,
71.0066,1958,6,USA,,
83.9717,1958,7,USA,,
61.288,1958,8,USA,,
62.9993,1958,9,USA,,
37.1788,1958,10,USA,,
46.6084,1958,11,USA,,
