tas,	Year, Month, Country, ISO3, ISO2
14.2246,1927,9,USA,,
8.26197,1927,10,USA,,
0.25309,1927,11,USA,,
-6.5488,1927,12,USA,,
-4.1707,1928,1,USA,,
-2.6282,1928,2,USA,,
-0.2702,1928,3,USA,,
4.68491,1928,4,USA,,
12.6593,1928,5,USA,,
16.0182,1928,6,USA,,
19.6848,1928,7,USA,,
18.547,1928,8,USA,,
13.6307,1928,9,USA,,
8.29417,1928,10,USA,,
1.20788,1928,11,USA,,
-3.5992,1928,12,USA,,
-6.2405,1929,1,USA,,
-5.9068,1929,2,USA,,
-0.0823,1929,3,USA,,
5.75846,1929,4,USA,,
11.4198,1929,5,USA,,
16.7375,1929,6,USA,,
19.7197,1929,7,USA,,
18.9296,1929,8,USA,,
14.5902,1929,9,USA,,
8.09782,1929,10,USA,,
0.04586,1929,11,USA,,
-4.1151,1929,12,USA,,
-7.5977,1930,1,USA,,
-3.0911,1930,2,USA,,
-1.0672,1930,3,USA,,
7.04644,1930,4,USA,,
11.6337,1930,5,USA,,
17.0994,1930,6,USA,,
20.469,1930,7,USA,,
19.3342,1930,8,USA,,
14.8214,1930,9,USA,,
7.03393,1930,10,USA,,
-0.3817,1930,11,USA,,
-4.1489,1930,12,USA,,
-3.8402,1931,1,USA,,
-1.5214,1931,2,USA,,
-0.7423,1931,3,USA,,
5.85868,1931,4,USA,,
11.4652,1931,5,USA,,
17.9848,1931,6,USA,,
20.5226,1931,7,USA,,
18.7693,1931,8,USA,,
15.8186,1931,9,USA,,
8.73434,1931,10,USA,,
1.49203,1931,11,USA,,
-3.5388,1931,12,USA,,
-6.278,1932,1,USA,,
-4.463,1932,2,USA,,
-1.1754,1932,3,USA,,
6.61637,1932,4,USA,,
12.1458,1932,5,USA,,
17.2954,1932,6,USA,,
19.9825,1932,7,USA,,
18.8238,1932,8,USA,,
14.2801,1932,9,USA,,
7.56617,1932,10,USA,,
-0.9867,1932,11,USA,,
-5.5901,1932,12,USA,,
-5.5705,1933,1,USA,,
-6.1545,1933,2,USA,,
-0.1256,1933,3,USA,,
5.70685,1933,4,USA,,
11.7818,1933,5,USA,,
18.0337,1933,6,USA,,
20.4088,1933,7,USA,,
18.6936,1933,8,USA,,
15.4987,1933,9,USA,,
7.92428,1933,10,USA,,
0.94816,1933,11,USA,,
-4.6154,1933,12,USA,,
-5.7613,1934,1,USA,,
-2.6747,1934,2,USA,,
0.44278,1934,3,USA,,
7.33142,1934,4,USA,,
13.8085,1934,5,USA,,
17.9348,1934,6,USA,,
20.7203,1934,7,USA,,
19.3978,1934,8,USA,,
14.3069,1934,9,USA,,
9.48673,1934,10,USA,,
2.02893,1934,11,USA,,
-3.6398,1934,12,USA,,
-5.5386,1935,1,USA,,
-2.2637,1935,2,USA,,
1.04016,1935,3,USA,,
5.53306,1935,4,USA,,
10.4324,1935,5,USA,,
16.6346,1935,6,USA,,
20.6937,1935,7,USA,,
19.0205,1935,8,USA,,
14.5311,1935,9,USA,,
7.84705,1935,10,USA,,
-0.629,1935,11,USA,,
-5.8472,1935,12,USA,,
-6.8517,1936,1,USA,,
-7.9459,1936,2,USA,,
0.51347,1936,3,USA,,
5.71046,1936,4,USA,,
13.6046,1936,5,USA,,
18.581,1936,6,USA,,
21.2377,1936,7,USA,,
20.1965,1936,8,USA,,
15.1151,1936,9,USA,,
8.08639,1936,10,USA,,
0.10543,1936,11,USA,,
-4.2324,1936,12,USA,,
-6.0909,1937,1,USA,,
-5.5272,1937,2,USA,,
-1.5781,1937,3,USA,,
5.1178,1937,4,USA,,
12.4688,1937,5,USA,,
17.3874,1937,6,USA,,
20.3725,1937,7,USA,,
19.793,1937,8,USA,,
15.2791,1937,9,USA,,
8.61698,1937,10,USA,,
0.91787,1937,11,USA,,
-4.4555,1937,12,USA,,
-5.9026,1938,1,USA,,
-3.925,1938,2,USA,,
1.52684,1938,3,USA,,
6.86032,1938,4,USA,,
11.9538,1938,5,USA,,
17.1654,1938,6,USA,,
19.8837,1938,7,USA,,
19.6218,1938,8,USA,,
15.6831,1938,9,USA,,
10.0964,1938,10,USA,,
0.39767,1938,11,USA,,
-3.3459,1938,12,USA,,
-4.7985,1939,1,USA,,
-5.5372,1939,2,USA,,
-0.3096,1939,3,USA,,
6.5126,1939,4,USA,,
12.8615,1939,5,USA,,
17.2826,1939,6,USA,,
20.4587,1939,7,USA,,
